Sunday,Office,Service,Psalms,FirstLesson,SecondLesson
THIRTEENTH SUNDAY AFTER TRINITY,Morning,Communion,104,*Josh. 24:14-28,"Mark 3:20-21, 31-35"
THIRTEENTH SUNDAY AFTER TRINITY,Evening,Communion,11; 12,Deut. 15:7-15,Matt. 26:6-13
THIRTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,73,"Hab. 1:12-2:4, 14",Heb. 10:35-39
THIRTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,112; 113,Deut. 24:10-22,Luke 10:23-37
FOURTEENTH SUNDAY AFTER TRINITY,Morning,Communion,19; 24,*Mic. 6:1-8,Phil. 4:4-13
FOURTEENTH SUNDAY AFTER TRINITY,Evening,Communion,50,Jer. 7:1-11,Luke 13:18-30
FOURTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,65,1 Chr. 29:10-17,Luke 17:5-10
FOURTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,92,"Deut. 8:1-14, 17-20",Luke 17:11-19
FIFTEENTH SUNDAY AFTER TRINITY,Morning,Communion,49,*Prov. 26:1-12,Luke 12:13-21
FIFTEENTH SUNDAY AFTER TRINITY,Evening,Communion,26; 128,Eccl. 5:8-20,1 Tim. 6:1-10
FIFTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,103,Deut. 7:6-13,Gal. 2:15-20
FIFTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,34,Joel 2:21-27,Matt. 6:24-34
SIXTEENTH SUNDAY AFTER TRINITY,Morning,Communion,116,*Isa. 12,John 11:21-44
SIXTEENTH SUNDAY AFTER TRINITY,Evening,Communion,90,Ezek. 33:1-9,Matt. 24:37-51
SIXTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,91,Jer. 32:36-42,Rom. 11:25-36
SIXTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,142; 146,"1 Ki. 17:8-9, 17-24",Luke 7:11-17
SEVENTEENTH SUNDAY AFTER TRINITY,Morning,Communion,25,*Jer. 13:15-21,Mark 10:35-45
SEVENTEENTH SUNDAY AFTER TRINITY,Evening,Communion,36:5-end; 130,Mal. 2:1-10,Luke 13:10-17
SEVENTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,10,Prov. 26:13-28,2 Tim. 2:19-26
SEVENTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,33,"Prov. 16:1-9, 16-19",Luke 14:1-11
EIGHTEENTH SUNDAY AFTER TRINITY,Morning,Prayer,48; 112,Prov. 2:1-9,1 Tim. 3:14-4:16
EIGHTEENTH SUNDAY AFTER TRINITY,Evening,Prayer,147,"Deut. 11:18-21, 26-28, 32",Gal. 1:1-12
EIGHTEENTH SUNDAY AFTER TRINITY,Morning,Communion,62; 63,*Amos 8:4-12,John 7:37-53
EIGHTEENTH SUNDAY AFTER TRINITY,Evening,Communion,119:89-104,Deut. 5:1-21,Matt. 22:34-46
NINETEENTH SUNDAY AFTER TRINITY,Morning,Communion,72,*Job 24:1-17,Titus 2
NINETEENTH SUNDAY AFTER TRINITY,Evening,Communion,80,Jer. 5:7-19,2 Cor. 13
NINETEENTH SUNDAY AFTER TRINITY,Morning,Prayer,34,Jer. 30:12-22,John 5:1-16
NINETEENTH SUNDAY AFTER TRINITY,Evening,Prayer,103,"Job 34:10-15, 21-28",Matt. 9:1-8
TWENTIETH SUNDAY AFTER TRINITY,Morning,Prayer,11; 12,Mal. 2:14-17,"Matt. 19:3-9a, 13-15"
TWENTIETH SUNDAY AFTER TRINITY,Evening,Prayer,145,Jer. 31:31-37,John 13:31-35
TWENTIETH SUNDAY AFTER TRINITY,Morning,Communion,1; 15,*Eccl. 9:4-10,Eph. 6:1-9
TWENTIETH SUNDAY AFTER TRINITY,Evening,Communion,"107:1-9, 33-end","Jer. 2:1-9, 13",Matt. 22:1-14
TWENTY-FIRST SUNDAY AFTER TRINITY,Morning,Communion,76; 121,*Isa. 59:15b-21,"2 Cor. 10:1-7, 17-18"
TWENTY-FIRST SUNDAY AFTER TRINITY,Evening,Communion,25,Gen. 15:1-6,Rom. 4:1-8
TWENTY-FIRST SUNDAY AFTER TRINITY,Morning,Prayer,27,Prov. 3:13-26,John 9:1-38
TWENTY-FIRST SUNDAY AFTER TRINITY,Evening,Prayer,30; 146,2 Ki. 5:1-15a,John 4:46b-54
TWENTY-SECOND SUNDAY AFTER TRINITY,Morning,Communion,32; 43,*Prov. 25:8-24,Matt. 18:7-20
